study_name;model_label;seq_length;features_length;accuracy_avg;accuracy_std;pneumonia_precision_avg;pneumonia_precision_std;pneumonia_recall_std;pneumonia_recall_std;pneumonia_f1_avg;pneumonia_f1_std;covid_precision_avg;covid_precision_std;covid_recall_avg;covid_recall_std;covid_f1_avg;covid_f1_std;healthy_precision_avg;healthy_precision_std;healthy_recall_avg;healthy_recall_std;healthy_f1_avg;healthy_f1_std
experiment_1;vgg16-15;15;25088;0.89;0.21;0.88;0.24;0.88;0.24;0.88;0.24;0.88;0.24;0.91;0.18;0.89;0.21;0.93;0.13;0.89;0.22;0.91;0.18
experiment_1;vgg16-20;20;25088;0.88;0.19;0.9;0.15;0.86;0.28;0.87;0.24;0.88;0.21;0.91;0.15;0.89;0.18;0.89;0.19;0.88;0.18;0.88;0.18
experiment_1;vgg19-5;5;25088;0.79;0.13;0.9;0.2;0.56;0.24;0.68;0.23;0.76;0.15;0.9;0.1;0.81;0.1;0.8;0.16;0.85;0.18;0.81;0.14
experiment_1;vgg19-10;10;25088;0.65;0.12;0.69;0.24;0.84;0.22;0.75;0.21;0.69;0.13;0.68;0.22;0.65;0.1;0.66;0.13;0.48;0.23;0.53;0.2
experiment_1;vgg19-15;15;25088;0.91;0.19;0.86;0.29;0.84;0.32;0.85;0.31;0.93;0.15;0.91;0.18;0.92;0.17;0.91;0.18;0.95;0.09;0.93;0.14
experiment_1;vgg19-20;20;25088;0.73;0.17;0.66;0.34;0.52;0.32;0.57;0.32;0.76;0.22;0.77;0.2;0.76;0.19;0.72;0.15;0.85;0.1;0.77;0.12
experiment_1;xception-5;5;2048;0.91;0.19;0.88;0.25;0.86;0.28;0.87;0.27;0.95;0.1;0.89;0.22;0.91;0.17;0.9;0.2;0.95;0.09;0.92;0.16
experiment_1;xception-10;10;2048;0.82;0.17;0.85;0.13;0.7;0.28;0.74;0.24;0.83;0.18;0.91;0.15;0.87;0.16;0.83;0.19;0.83;0.16;0.82;0.16
experiment_1;xception-15;15;2048;0.9;0.2;0.91;0.17;0.88;0.24;0.89;0.21;0.89;0.23;0.94;0.12;0.91;0.19;0.92;0.15;0.88;0.25;0.9;0.21
experiment_1;xception-20;20;2048;0.93;0.13;0.92;0.17;0.94;0.12;0.93;0.15;0.94;0.12;0.97;0.06;0.95;0.1;0.95;0.1;0.89;0.22;0.91;0.17
